no,Age,Job,Creditamount,Duration,Sex_male,Housing_own,Housing_rent,Savingaccounts_moderate,Savingaccounts_quite rich,Savingaccounts_rich,Checkingaccount_moderate,Checkingaccount_rich,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Age_Income_Ratio,Credit_Duration_Ratio,Saving_Checking_Account_little_moderate,Saving_Checking_Account_little_rich,Saving_Checking_Account_moderate_little,Saving_Checking_Account_moderate_moderate,Saving_Checking_Account_moderate_rich,Saving_Checking_Account_quite rich_little,Saving_Checking_Account_quite rich_moderate,Saving_Checking_Account_quite rich_rich,Saving_Checking_Account_rich_little,Saving_Checking_Account_rich_moderate,Saving_Checking_Account_rich_rich
319,27,1,3643,15,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.007409440175631174,227.6875,False,False,False,False,False,False,False,False,False,False,False
320,28,3,4249,30,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.006588235294117647,137.06451612903226,True,False,False,False,False,False,False,False,False,False,False
321,32,2,1938,24,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.016503352243424446,77.52,False,False,False,False,False,False,False,False,False,False,False
322,34,3,2910,24,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.011679835108210237,116.4,False,False,False,False,False,False,False,False,False,False,False
323,28,2,2659,18,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,0.010526315789473684,139.94736842105263,False,False,False,False,False,False,False,False,True,False,False
325,39,1,3398,8,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.01147396293027361,377.55555555555554,False,False,False,False,False,False,False,False,False,False,False
328,31,2,4473,36,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.006928922664282521,120.89189189189189,False,True,False,False,False,False,False,False,False,False,False
329,28,2,1068,6,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.026192703461178673,152.57142857142858,True,False,False,False,False,False,False,False,False,False,False
330,75,3,6615,24,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.01133615477629988,264.6,False,False,False,False,False,False,False,False,False,False,False
332,24,3,7408,60,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,0.0032393035497368067,121.44262295081967,False,False,False,True,False,False,False,False,False,False,False
334,23,2,4110,24,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.005594745803940647,164.4,False,False,False,False,False,False,False,False,False,False,False
335,44,3,3384,6,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.012998522895125554,483.42857142857144,False,False,False,False,False,False,False,False,False,False,False
336,23,1,2101,13,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.010941960038058992,150.07142857142858,True,False,False,False,False,False,False,False,False,False,False
338,28,2,4169,24,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.00671462829736211,166.76,False,False,False,False,False,False,False,False,False,False,False
339,31,1,1521,10,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.020367936925098553,138.27272727272728,True,False,False,False,False,False,False,False,False,False,False
340,24,2,5743,24,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.004178272980501393,229.72,True,False,False,False,False,False,False,False,False,False,False
341,26,1,3599,21,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.007222222222222222,163.5909090909091,False,False,False,False,False,False,False,False,False,False,False
342,25,2,3213,18,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,0.007778469197261979,169.10526315789474,False,False,False,False,False,False,True,False,False,False,False
343,33,3,4439,18,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0.007432432432432433,233.6315789473684,True,False,False,False,False,False,False,False,False,False,False
344,37,1,3949,10,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,0.009367088607594937,359.0,False,True,False,False,False,False,False,False,False,False,False
346,23,2,882,13,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.026047565118912798,63.0,True,False,False,False,False,False,False,False,False,False,False
347,23,0,3758,24,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,0.006118648576749135,150.32,False,False,False,False,False,False,True,False,False,False,False
349,32,2,1136,9,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,0.028144239226033423,113.6,False,False,False,False,False,False,False,False,False,True,False
351,29,2,959,9,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.030208333333333334,95.9,True,False,False,False,False,False,False,False,False,False,False
353,28,2,6199,12,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.004516129032258065,476.84615384615387,False,False,False,False,False,False,False,False,False,False,False
355,23,1,1246,24,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.018444266238973536,49.84,True,False,False,False,False,False,False,False,False,False,False
359,23,2,2406,30,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.009555463232239303,77.61290322580645,False,False,False,False,False,False,False,False,False,False,False
362,36,2,2247,12,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,0.01601423487544484,172.84615384615384,False,True,False,False,False,False,False,False,False,False,False
364,25,0,2473,18,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.010105092966855295,130.1578947368421,False,False,False,False,False,False,False,False,False,False,False
367,22,2,3650,18,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.006025746370857299,192.10526315789474,False,False,False,False,False,False,False,False,False,False,False
368,42,2,3446,36,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.012184508268059183,93.13513513513513,False,False,False,False,False,False,False,False,False,False,False
369,40,2,3001,18,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0.013324450366422385,157.94736842105263,True,False,False,False,False,False,False,False,False,False,False
374,60,3,14782,60,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0.004058716092809308,242.327868852459,False,False,False,True,False,False,False,False,False,False,False
375,37,2,7685,48,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.004813947436898257,156.83673469387756,False,False,False,False,False,False,False,False,False,False,False
378,57,3,14318,36,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.003980724910957469,386.97297297297297,True,False,False,False,False,False,False,False,False,False,False
381,38,3,12976,18,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.0029282576866764276,682.9473684210526,True,False,False,False,False,False,False,False,False,False,False
383,26,2,1330,12,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,0.019534184823441023,102.3076923076923,False,True,False,False,False,False,False,False,False,False,False
387,40,3,7374,18,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.005423728813559322,388.10526315789474,True,False,False,False,False,False,False,False,False,False,False
388,27,2,2326,15,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,0.011602922217447357,145.375,False,False,False,False,False,False,True,False,False,False,False
391,19,1,983,12,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,0.019308943089430895,75.61538461538461,False,False,False,False,False,False,False,False,False,True,False
392,39,3,3249,36,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.012,87.8108108108108,False,False,False,False,False,False,False,False,False,False,False
393,31,2,1957,6,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.015832482124616958,279.57142857142856,False,False,False,False,False,False,False,False,False,False,False
395,32,2,11760,39,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,0.002720857069977043,294.0,False,False,False,True,False,False,False,False,False,False,False
396,55,3,2578,12,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.021326095385808454,198.30769230769232,False,False,False,False,False,False,False,False,False,False,False
397,46,2,2348,36,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.019582801191996593,63.45945945945946,False,False,False,False,False,False,False,False,False,False,False
398,46,2,1223,12,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,0.03758169934640523,94.07692307692308,True,False,False,False,False,False,False,False,False,False,False
405,22,2,2039,24,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.010784313725490196,81.56,True,False,False,False,False,False,False,False,False,False,False
407,27,2,1053,15,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.025616698292220113,65.8125,False,False,False,False,False,False,False,False,False,False,False
409,28,2,939,12,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,0.029787234042553193,72.23076923076923,False,False,False,False,False,False,False,True,False,False,False
410,20,2,1967,24,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.01016260162601626,78.68,True,False,False,False,False,False,False,False,False,False,False
416,33,1,2579,12,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.012790697674418604,198.3846153846154,False,False,False,False,False,False,False,False,False,False,False
422,47,1,958,12,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.049009384775808136,73.6923076923077,True,False,False,False,False,False,False,False,False,False,False
425,21,2,2779,18,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,0.007553956834532374,146.26315789473685,True,False,False,False,False,False,False,False,False,False,False
429,55,0,1190,18,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.04617968094038623,62.63157894736842,False,False,False,False,False,False,False,False,False,False,False
431,29,3,11328,24,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,0.0025598022773413364,453.12,True,False,False,False,False,False,False,False,False,False,False
432,36,3,1872,6,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.019220501868659905,267.42857142857144,False,False,False,False,False,False,False,False,False,False,False
434,25,2,2136,9,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.01169864295741694,213.6,False,False,False,False,False,False,False,False,False,False,False
438,65,0,3394,42,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.01914580265095729,78.93023255813954,False,False,False,False,False,False,False,False,False,False,False
439,26,0,609,12,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.04262295081967213,46.84615384615385,False,True,False,False,False,False,False,False,False,False,False
441,30,2,1620,12,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.01850709438618137,124.61538461538461,False,False,False,False,False,False,False,False,False,False,False
442,29,2,2629,20,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,0.011026615969581748,125.19047619047619,True,False,False,False,False,False,False,False,False,False,False
444,30,3,5096,48,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.005885815185403178,104.0,True,False,False,False,False,False,False,False,False,False,False
446,34,2,1842,36,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.018448182311448725,49.78378378378378,False,False,False,False,False,False,False,False,False,False,False
447,35,2,2576,7,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.013581684128831975,322.0,True,False,False,False,False,False,False,False,False,False,False
449,61,2,1512,15,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,0.0403172504957039,94.5,False,False,False,False,False,False,False,False,False,True,False
454,31,2,4817,24,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.006434205064342051,192.68,False,False,False,False,False,False,False,False,False,False,False
456,36,2,3905,11,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.009216589861751152,325.4166666666667,False,False,False,False,False,False,False,False,False,False,False
457,35,2,3386,12,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.010333628579864187,260.46153846153845,False,False,False,False,False,False,False,False,False,False,False
458,27,2,343,6,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.07848837209302326,49.0,False,False,False,False,False,False,False,False,False,False,False
460,37,2,3620,36,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.010218171775752554,97.83783783783784,False,False,False,False,False,False,False,False,False,False,False
461,36,2,1721,15,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.020905923344947737,107.5625,False,False,False,False,False,False,False,False,False,False,False
462,34,3,3017,12,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0.01126573889993373,232.07692307692307,True,False,False,False,False,False,False,False,False,False,False
465,63,2,2924,24,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.021538461538461538,116.96,False,False,False,False,False,False,False,False,False,False,False
466,29,1,1659,24,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.01746987951807229,66.36,False,False,False,False,False,False,False,False,False,False,False
470,22,2,3092,24,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,0.007112835434852894,123.68,False,False,False,True,False,False,False,False,False,False,False
471,23,2,448,6,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.051224944320712694,64.0,False,False,False,False,False,False,False,False,False,False,False
472,28,1,654,9,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.042748091603053436,65.4,False,False,False,False,False,False,False,False,False,False,False
474,33,2,1245,18,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.026484751203852328,65.52631578947368,True,False,False,False,False,False,False,False,False,False,False
475,26,2,3114,18,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.008346709470304976,163.89473684210526,False,False,False,False,False,False,False,False,False,False,False
477,25,2,5152,24,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.004851542790607413,206.08,False,True,False,False,False,False,False,False,False,False,False
478,39,1,1037,12,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,0.03757225433526012,79.76923076923077,False,False,False,True,False,False,False,False,False,False,False
479,44,2,1478,15,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.029749830966869506,92.375,False,False,False,False,False,False,False,False,False,False,False
480,23,1,3573,12,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.006435366536094013,274.84615384615387,True,False,False,False,False,False,False,False,False,False,False
481,26,2,1201,24,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.021630615640599003,48.04,True,False,False,False,False,False,False,False,False,False,False
482,57,2,3622,30,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.01573281810654154,116.83870967741936,False,False,False,False,False,False,False,False,True,False,False
485,47,3,1209,6,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.03884297520661157,172.71428571428572,True,False,False,False,False,False,False,False,False,False,False
491,42,3,8318,27,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.005048683736025965,297.07142857142856,True,False,False,False,False,False,False,False,False,False,False
494,39,1,2122,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.018370230805463968,163.23076923076923,False,False,False,False,False,False,False,False,False,False,False
496,29,3,9034,36,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,0.0032097399003873824,244.16216216216216,False,False,False,True,False,False,False,False,False,False,False
498,32,1,1301,18,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.02457757296466974,68.47368421052632,True,False,False,False,False,False,False,False,False,False,False
499,28,2,1323,6,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,0.021148036253776436,189.0,False,False,False,False,True,False,False,False,False,False,False
500,27,2,3123,24,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.008642765685019206,124.92,False,False,False,False,False,False,False,False,False,False,False
501,42,2,5493,36,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.007644703312704768,148.45945945945945,False,False,False,False,False,False,False,False,False,False,False
502,49,2,1126,9,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,0.043478260869565216,112.6,False,False,False,False,True,False,False,False,False,False,False
503,38,2,1216,24,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,0.031224322103533278,48.64,False,False,False,True,False,False,False,False,False,False,False
504,24,2,1207,24,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.019867549668874173,48.28,False,False,False,False,False,False,False,False,False,False,False
506,36,2,2360,15,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,0.015247776365946633,147.5,False,False,False,False,False,False,False,True,False,False,False
507,34,3,6850,15,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,0.004962779156327543,428.125,False,False,False,True,False,False,False,False,False,False,False
510,26,2,759,12,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.034210526315789476,58.38461538461539,False,False,False,False,False,False,False,False,False,False,False
512,26,2,2687,15,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0.009672619047619048,167.9375,False,True,False,False,False,False,False,False,False,False,False
513,20,2,585,12,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,0.034129692832764506,45.0,True,False,False,False,False,False,False,False,False,False,False
515,37,2,609,6,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.060655737704918035,87.0,False,False,False,False,False,False,False,False,False,False,False
516,40,1,1361,6,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.02936857562408223,194.42857142857142,False,False,False,False,False,False,False,False,False,False,False
518,43,2,1203,6,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,0.03571428571428571,171.85714285714286,False,False,True,False,False,False,False,False,False,False,False
521,24,2,3190,18,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.007521153243497336,167.89473684210526,False,False,False,False,False,False,False,False,False,False,False
522,53,2,7119,48,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.007443820224719101,145.28571428571428,False,False,False,False,False,False,False,False,False,False,False
524,26,1,1113,18,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.02333931777378815,58.578947368421055,True,False,False,False,False,False,False,False,False,False,False
525,30,2,7966,26,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.0037655328228944395,295.037037037037,True,False,False,False,False,False,False,False,False,False,False
528,31,2,2302,36,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.013460703430308293,62.21621621621622,False,False,False,False,False,False,False,False,False,False,False
529,41,1,662,6,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.06184012066365008,94.57142857142857,False,False,False,False,False,False,False,False,False,False,False
530,32,2,2273,36,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,0.014072119613016711,61.432432432432435,True,False,False,False,False,False,False,False,False,False,False
531,28,2,2631,15,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,0.010638297872340425,164.4375,False,False,False,True,False,False,False,False,False,False,False
535,33,2,2319,21,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,0.014224137931034483,105.4090909090909,False,True,False,False,False,False,False,False,False,False,False
537,37,2,3612,18,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.010240797121505675,190.10526315789474,True,False,False,False,False,False,False,False,False,False,False
538,42,3,7763,48,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.005409582689335394,158.42857142857142,False,False,False,False,False,False,False,False,False,False,False
539,45,1,3049,18,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,0.014754098360655738,160.47368421052633,False,True,False,False,False,False,False,False,False,False,False
540,23,2,1534,12,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,0.01498371335504886,118.0,True,False,False,False,False,False,False,False,False,False,False
543,34,1,2864,18,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,0.0118673647469459,150.73684210526315,False,True,False,False,False,False,False,False,False,False,False
545,43,2,1333,24,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.03223388305847077,53.32,False,False,False,False,False,False,False,False,False,False,False
548,24,1,626,12,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.03827751196172249,48.15384615384615,False,False,False,False,False,False,False,False,False,False,False
552,34,2,6999,48,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.004857142857142857,142.83673469387756,False,False,False,False,False,False,False,False,False,False,False
553,27,2,1995,12,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,0.013527054108216433,153.46153846153845,False,False,False,True,False,False,False,False,False,False,False
554,67,3,1199,9,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,0.05583333333333333,119.9,True,False,False,False,False,False,False,False,False,False,False
555,22,2,1331,12,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.016516516516516516,102.38461538461539,True,False,False,False,False,False,False,False,False,False,False
556,28,2,2278,18,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,0.01228609039052216,119.89473684210526,False,False,False,True,False,False,False,False,False,False,False
558,27,2,3552,24,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.007599211933577259,142.08,False,False,False,False,False,False,False,False,False,False,False
559,31,1,1928,18,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.01607050285121825,101.47368421052632,True,False,False,False,False,False,False,False,False,False,False
561,24,1,1546,24,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.015513897866839044,61.84,False,False,False,False,False,False,False,False,False,False,False
562,29,2,683,6,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.04239766081871345,97.57142857142857,False,True,False,False,False,False,False,False,False,False,False
565,23,2,1553,24,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,0.014800514800514801,62.12,False,False,False,True,False,False,False,False,False,False,False
566,36,2,1372,12,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.026219956300072834,105.53846153846153,False,False,False,False,False,False,False,False,False,False,False
569,31,2,6758,48,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.004586477289539872,137.91836734693877,False,False,False,False,False,False,False,False,False,False,False
570,23,1,3234,24,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.0071097372488408035,129.36,False,False,False,False,False,False,False,False,False,False,False
573,22,1,806,15,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.027261462205700124,50.375,False,False,False,False,False,False,False,False,False,False,False
574,27,1,1082,9,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.024930747922437674,108.2,True,False,False,False,False,False,False,False,False,False,False
576,27,2,2930,12,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.009211873080859774,225.3846153846154,True,False,False,False,False,False,False,False,False,False,False
578,27,2,2820,36,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.00957107408720312,76.21621621621621,True,False,False,False,False,False,False,False,False,False,False
580,30,2,1056,18,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.02838221381267739,55.578947368421055,True,False,False,False,False,False,False,False,False,False,False
581,49,1,3124,12,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.01568,240.30769230769232,True,False,False,False,False,False,False,False,False,False,False
583,33,1,2384,36,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,0.013836477987421384,64.43243243243244,True,False,False,False,False,False,False,False,False,False,False
585,20,2,2039,18,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.00980392156862745,107.3157894736842,False,False,False,False,False,False,False,False,False,False,False
586,36,2,2799,9,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.012857142857142857,279.9,False,False,False,False,False,False,False,False,False,False,False
587,21,1,1289,12,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.01627906976744186,99.15384615384616,False,False,False,False,False,False,False,False,False,False,False
588,47,1,1217,18,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.03858784893267652,64.05263157894737,False,False,False,False,False,False,False,False,False,False,False
589,60,2,2246,12,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0267022696929239,172.76923076923077,False,False,False,False,False,False,False,False,False,False,False
590,58,1,385,12,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.15025906735751296,29.615384615384617,False,False,False,False,False,False,False,False,False,False,False
593,20,1,2718,24,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,0.00735564545788893,108.72,True,False,False,False,False,False,False,False,False,False,False
595,32,1,931,6,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,0.034334763948497854,133.0,False,False,False,True,False,False,False,False,False,False,False
596,23,2,1442,24,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.01593901593901594,57.68,False,False,False,False,False,False,False,False,False,False,False
597,36,1,4241,24,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0.008486562942008486,169.64,True,False,False,False,False,False,False,False,False,False,False
600,45,2,2329,7,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.019313304721030045,291.125,True,False,False,False,False,False,False,False,False,False,False
601,30,2,918,9,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.03264417845484222,91.8,True,False,False,False,False,False,False,False,False,False,False
602,34,1,1837,24,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.018498367791077257,73.48,True,False,False,False,False,False,False,False,False,False,False
604,23,2,1275,10,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,0.018025078369905956,115.9090909090909,False,True,False,False,False,False,False,False,False,False,False
605,22,2,2828,24,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,0.007776599505125486,113.12,False,False,False,False,False,True,False,False,False,False,False
607,50,2,2671,36,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,0.0187125748502994,72.1891891891892,False,False,False,True,False,False,False,False,False,False,False
610,22,2,741,12,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,0.029649595687331536,57.0,False,False,True,False,False,False,False,False,False,False,False
611,48,1,1240,10,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,0.038678485092667206,112.72727272727273,False,False,False,False,True,False,False,False,False,False,False
612,29,2,3357,21,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0.008636092912447886,152.5909090909091,False,False,False,False,False,False,False,False,True,False,False
613,22,2,3632,24,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.006055601431323975,145.28,False,False,False,False,False,False,False,False,False,False,False
617,37,2,3676,6,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.010062550992657057,525.1428571428571,False,False,False,False,False,False,False,False,False,False,False
618,21,2,3441,30,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,0.00610110400929692,111.0,False,False,False,True,False,False,False,False,False,False,False
620,27,2,3652,21,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0073911853271283875,166.0,True,False,False,False,False,False,False,False,False,False,False
623,22,2,1858,12,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.011834319526627219,142.92307692307693,False,False,False,False,False,False,False,False,False,False,False
624,65,2,2600,18,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.024990388312187622,136.8421052631579,False,False,False,False,False,False,False,False,False,False,False
626,41,2,2116,6,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,0.019367028814359942,302.2857142857143,False,True,False,False,False,False,False,False,False,False,False
627,29,2,1437,9,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,0.020166898470097356,143.7,False,False,False,True,False,False,False,False,False,False,False
630,28,2,3660,24,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0076481835564053535,146.4,False,False,False,False,False,False,False,False,False,False,False
631,44,2,1553,18,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.028314028314028315,81.73684210526316,False,False,False,False,False,False,False,False,False,False,False
634,25,1,1355,24,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.018436578171091445,54.2,True,False,False,False,False,False,False,False,False,False,False
639,26,2,4370,42,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.005948295584534431,101.62790697674419,False,False,False,False,False,False,False,False,False,False,False
640,27,0,750,18,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.03595206391478029,39.473684210526315,False,False,False,False,False,False,False,False,False,False,False
641,38,1,1308,15,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0.029029793735676088,81.75,True,False,False,False,False,False,False,False,False,False,False
